LAM,FGM,FGA,3M,3A,FTM,FTA,REB,Oreb,Turn,steal,SHSU,FGM,FGA,3M,3A,FTM,FTA,REB,Oreb,Turn,steal,Players,Chat GPT Team,Team,Location,Opponent,Opponent Conference,Conference Game,Power,Top 25,STR/BENCH,,STR,Min,FGM,FGA,3M,3A,FTM,FTA,OReb,DReb,AST,STL,TO,PF,PTS,OPP ACTIVE VALUE,OPP HISTORICAL VALUE,TEAM ACTIVE VALUE,TEAM HISTORICAL VALUE,Doubles,Double Doube,Triple Double,0-3+ FG,Perfect 2 FG min 3,Perfect 3 FG min 3,Points Leader,Def Reb Leader,Off Reb Leader,Steal Leader,Assist Leader,Foul Trouble,20+ minutes,20+ points,SM,Line,Clutch ,Overtime,Attendance,Player Points,Points Oregon,Points Troy
Providence,,,,,,,,,,,Providence,PROV,,,,,,,,,0,,Providence - 45.336,NO,Big East,"Providence, RI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purdue,,,,,,,,,,,Purdue,PUR,,,,,,,,,1,,Purdue - 87.117,YES,Big Ten,"West Lafayette, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purdue Fort Wayne,,,,,,,,,,,Purdue Fort Wayne,PFW,,,,,,,,,0,,Purdue Fort Wayne - 23.644,NO,Horizon,"Fort Wayne, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queens,,,,,,,,,,,Queens,QUC,,,,,,,,,0,,Queens - 14.282,NO,ASUN,"Charlotte, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinnipiac,,,,,,,,,,,Quinnipiac,QUIN,,,,,,,,,0,,Quinnipiac - 22.887,NO,MAAC,"Hamden, CT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radford,,,,,,,,,,,Radford,RAD,,,,,,,,,0,,Radford - 19.785,NO,Big South,"Radford, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,,,,,,,,,,,Rhode Island,URI,,,,,,,,,0,,Rhode Island - 8.544,NO,A10,"Kingston, RI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice,,,,,,,,,,,Rice,RICE,,,,,,,,,0,,Rice - 19.885,NO,American,"Houston, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richmond,,,,,,,,,,,Richmond,RICH,,,,,,,,,0,,Richmond - 36.909,NO,A10,"Richmond, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rider,,,,,,,,,,,Rider,RID,,,,,,,,,0,,Rider - 9.933,NO,MAAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Morris,,,,,,,,,,,Robert Morris,RMU,,,,,,,,,0,,Robert Morris - 9.781,NO,Horizon,"Moon Township, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rutgers,,,,,,,,,,,Rutgers,RUTG,,,,,,,,,1,,Rutgers - 25.195,NO,Big Ten,"Piscataway, NJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento St.,,,,,,,,,,,Sacramento St.,SAC,,,,,,,,,0,,Sacramento St. - 9.014,NO,Big Sky,"Sacramento, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacred Heart,,,,,,,,,,,Sacred Heart,SHU,,,,,,,,,0,,Sacred Heart - 10.436,NO,MAAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Francis,,,,,,,,,,,Saint Francis,,,,,,,,,,0,,Saint Francis - 11.936,NO,NEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Joseph's,,,,,,,,,,,Saint Joseph's,JOES,,,,,,,,,0,,Saint Joseph's - 23.074,NO,A10,"Philadelphia, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Louis,,,,,,,,,,,Saint Louis,SLU,,,,,,,,,0,,Saint Louis - 26.838,NO,A10,"St. Louis, MO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Mary's,,,,,,,,,,,Saint Mary's,SMC,,,,,,,,,0,,Saint Mary's - 64.285,YES,WCC,"Moraga, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Peter's,,,,,,,,,,,Saint Peter's,SPU,,,,,,,,,0,,Saint Peter's - 47.634,YES,MAAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Houston St.,,,,,,,,,,,Sam Houston St.,SHSU,,,,,,,,,0,,Sam Houston St. - 26.325,NO,CUSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samford,,,,,,,,,,,Samford,SAM,,,,,,,,,0,,Samford - 32.348,YES,Southern,"Homewood, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego,,,,,,,,,,,San Diego,USD,,,,,,,,,0,,San Diego - 12.898,NO,WCC,"San Diego, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego St.,,,,,,,,,,,San Diego St.,SDSU,,,,,,,,,0,,San Diego St. - 81.886,YES,Mountain West,"San Diego, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco,,,,,,,,,,,San Francisco,SF,,,,,,,,,0,,San Francisco - 30.37,NO,WCC,"San Francisco, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Jose St.,,,,,,,,,,,San Jose St.,SJSU,,,,,,,,,0,,San Jose St. - 14.198,NO,Mountain West,"San Jose, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara,,,,,,,,,,,Santa Clara,SCU,,,,,,,,,0,,Santa Clara - 27.311,NO,WCC,"Santa Clara, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seattle,,,,,,,,,,,Seattle,SEA,,,,,,,,,0,,Seattle - 23.387,NO,WAC,"Seattle, WA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seton Hall,,,,,,,,,,,Seton Hall,HALL,,,,,,,,,0,,Seton Hall - 33.852,NO,Big East,"Newark, NJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siena,,,,,,,,,,,Siena,,,,,,,,,,0,,Siena - 10.708,NO,MAAC,"Albany, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIU Edwardsville,,,,,,,,,,,SIU Edwardsville,SIUE,,,,,,,,,0,,SIU Edwardsville - 12.55,NO,Ohio Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMU,,,,,,,,,,,SMU,SMU,,,,,,,,,0,,SMU - 24.856,NO,ACC,"Dallas, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Alabama,,,,,,,,,,,South Alabama,USA,,,,,,,,,0,,South Alabama - 16.889,NO,Sun Belt,"Mobile, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,,,,,,,,,,,South Carolina,SC,,,,,,,,,0,,South Carolina - 11.514,YES,SEC,"Columbia, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina St.,,,,,,,,,,,South Carolina St.,,,,,,,,,,0,,South Carolina St. - 5.232,NO,MEAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,,,,,,,,,,,South Dakota,SDAK,,,,,,,,,0,,South Dakota - 9.778,NO,Summit,"Vermillion, SD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota St.,,,,,,,,,,,South Dakota St.,SDST,,,,,,,,,0,,South Dakota St. - 45.643,YES,Summit,"Brookings, SD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Florida,,,,,,,,,,,South Florida,USF,,,,,,,,,0,,South Florida - 20.689,NO,American,"Tampa, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southeast Missouri St.,,,,,,,,,,,Southeast Missouri St.,SEMO,,,,,,,,,0,,Southeast Missouri St. - 20.208,NO,Ohio Valley,"Cape Girardeau, MO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southeastern Louisiana,,,,,,,,,,,Southeastern Louisiana,,,,,,,,,,0,,Southeastern Louisiana - 10.562,NO,Southland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern,,,,,,,,,,,Southern,,,,,,,,,,0,,Southern - 7.925,NO,SWAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Illinois,,,,,,,,,,,Southern Illinois,,,,,,,,,,0,,Southern Illinois - 11.826,NO,Missouri Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Indiana,,,,,,,,,,,Southern Indiana,,,,,,,,,,0,,Southern Indiana - 11.171,NO,Ohio Valley,"Evansville, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Miss,,,,,,,,,,,Southern Miss,USM,,,,,,,,,0,,Southern Miss - 18.881,NO,Sun Belt,"Hattiesburg, MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Utah,,,,,,,,,,,Southern Utah,SUU,,,,,,,,,0,,Southern Utah - 23.191,NO,WAC,"Cedar City, UT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Bonaventure,,,,,,,,,,,St. Bonaventure,SBU,,,,,,,,,0,,St. Bonaventure - 21.788,NO,A10,"Saint Bonaventure, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's,,,,,,,,,,,St. John's,SJU,,,,,,,,,1,,St. John's - 8.45,NO,Big East,"New York, NY","Queens, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Thomas,,,,,,,,,,,St. Thomas,STMN,,,,,,,,,0,,St. Thomas - 17.816,NO,Summit,"St.. Paul, MN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanford,,,,,,,,,,,Stanford,STAN,,,,,,,,,0,,Stanford - -8.206,NO,ACC,"Stanford, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen F. Austin,,,,,,,,,,,Stephen F. Austin,,,,,,,,,,0,,Stephen F. Austin - 22.097,NO,WAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stetson,,,,,,,,,,,Stetson,STET,,,,,,,,,0,,Stetson - 34.45,YES,ASUN,"DeLand, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stonehill,,,,,,,,,,,Stonehill,STO,,,,,,,,,0,,Stonehill - 10.645,NO,NEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stony Brook,,,,,,,,,,,Stony Brook,,,,,,,,,,0,,Stony Brook - 20.781,NO,CAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syracuse,,,,,,,,,,,Syracuse,SYR,,,,,,,,,0,,Syracuse - 12.085,NO,ACC,"Syracuse, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarleton St.,,,,,,,,,,,Tarleton St.,TAR,,,,,,,,,0,,Tarleton St. - 17.501,NO,WAC,"Stephenville, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCU,,,,,,,,,,,TCU,TCU,,,,,,,,,0,,TCU - 44.273,YES,Big 12,"Fort Worth, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temple,,,,,,,,,,,Temple,TEM,,,,,,,,,0,,Temple - 18.423,NO,American,"Philadelphia, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,,,,,,,,,,,Tennessee,TENN,,,,,,,,,1,,Tennessee - 59.511,YES,SEC,"Knoxville, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee Martin,,,,,,,,,,,Tennessee Martin,,,,,,,,,,0,,Tennessee Martin - 7.916,NO,Ohio Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee St.,,,,,,,,,,,Tennessee St.,TNST,,,,,,,,,0,,Tennessee St. - 12.27,NO,Ohio Valley,"Nashville, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee Tech,,,,,,,,,,,Tennessee Tech,TNTC,,,,,,,,,0,,Tennessee Tech - 9.39,NO,Ohio Valley,"Cookeville, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,,,,,,,,,,,Texas,TEX,,,,,,,,,0,,Texas - 65.357,YES,SEC,"Austin, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,,,,,,,,,,,Texas A&M,TA&M,,,,,,,,,1,,Texas A&M - 44.767,YES,SEC,"College Station, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M Corpus Chris,,,,,,,,,,,Texas A&M Corpus Chris,,,,,,,,,,0,,Texas A&M Corpus Chris - 34.115,NO,Southland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Southern,,,,,,,,,,,Texas Southern,,,,,,,,,,0,,Texas Southern - 39.929,NO,SWAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas St.,,,,,,,,,,,Texas St.,TXST,,,,,,,,,0,,Texas St. - 29.982,NO,Sun Belt,"San Marcos, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Tech,,,,,,,,,,,Texas Tech,TTU,,,,,,,,,0,,Texas Tech - 57.115,YES,Big 12,"Lubbock, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Citadel,,,,,,,,,,,The Citadel,CIT,,,,,,,,,0,,The Citadel - 7.827,NO,Southern,"Charleston, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toledo,,,,,,,,,,,Toledo,TOL,,,,,,,,,0,,Toledo - 38.778,NO,MAC,"Toledo, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Towson,,,,,,,,,,,Towson,TOW,,,,,,,,,0,,Towson - 25.225,NO,CAA,"Towson, MD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troy,,,,,,,,,,,Troy,TROY,,,,,,,,,0,,Troy - 18.005,NO,Sun Belt,"Troy, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulane,,,,,,,,,,,Tulane,TULN,,,,,,,,,0,,Tulane - 11.447,NO,American,"New Orleans, LA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulsa,,,,,,,,,,,Tulsa,TLSA,,,,,,,,,0,,Tulsa - 8.761,NO,American,"Tulsa, OK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAB,,,,,,,,,,,UAB,UAB,,,,,,,,,0,,UAB - 52.268,YES,American,"Birmingham, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UC Davis,,,,,,,,,,,UC Davis,UCD,,,,,,,,,0,,UC Davis - 14.278,NO,Big West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UC Irvine,,,,,,,,,,,UC Irvine,UCI,,,,,,,,,0,,UC Irvine - 34.777,NO,Big West,"Irvine, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UC Riverside,,,,,,,,,,,UC Riverside,,,,,,,,,,0,,UC Riverside - 14.517,NO,Big West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UC San Diego,,,,,,,,,,,UC San Diego,UCSD,,,,,,,,,0,,UC San Diego - 14.052,NO,Big West,"San Diego, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UC Santa Barbara,,,,,,,,,,,UC Santa Barbara,UCSB,,,,,,,,,0,,UC Santa Barbara - 32.647,NO,Big West,"Santa Barbara, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCF,,,,,,,,,,,UCF,UCF,,,,,,,,,0,,UCF - 24.953,NO,Big 12,"Orlando, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCLA,,,,,,,,,,,UCLA,UCLA,,,,,,,,,0,,UCLA - 52.952,NO,Big Ten,"Los Angeles, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMass Lowell,,,,,,,,,,,UMass Lowell,UML,,,,,,,,,0,,UMass Lowell - 20.004,NO,American East,"Lowell, MA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMBC,,,,,,,,,,,UMBC,UMBC,,,,,,,,,0,,UMBC - 12.039,NO,American East,"Baltimore, MD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMKC,,,,,,,,,,,UMKC,,,,,,,,,,0,,UMKC - 7.086,NO,Summit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNC Asheville,,,,,,,,,,,UNC Asheville,UNCA,,,,,,,,,0,,UNC Asheville - 33.157,NO,Big South,"Asheville, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNC Greensboro,,,,,,,,,,,UNC Greensboro,UNCG,,,,,,,,,0,,UNC Greensboro - 24.629,NO,Big South,"Greensboro, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNC Wilmington,,,,,,,,,,,UNC Wilmington,UNCW,,,,,,,,,0,,UNC Wilmington - 22.178,NO,CAA,"Wilmington, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNLV,,,,,,,,,,,UNLV,UNLV,,,,,,,,,0,,UNLV - 17.637,NO,Mountain West,"Las Vegas, NV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC,,,,,,,,,,,USC,USC,,,,,,,,,0,,USC - 35.599,NO,Big Ten,"Los Angeles, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC Upstate,,,,,,,,,,,USC Upstate,UPST,,,,,,,,,0,,USC Upstate - 15.981,NO,Big South,"Spartanburg, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT Arlington,,,,,,,,,,,UT Arlington,UTA,,,,,,,,,0,,UT Arlington - 11.925,NO,WAC,"Arlington, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT Rio Grande Valley,,,,,,,,,,,UT Rio Grande Valley,RGV,,,,,,,,,0,,UT Rio Grande Valley - 7.186,NO,Southland,"Edinburg, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,,,,,,,,,,,Utah,UTAH,,,,,,,,,0,,Utah - 3.331,NO,Big 12,"Salt Lake City, UT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah St.,,,,,,,,,,,Utah St.,USU,,,,,,,,,0,,Utah St. - 54.388,YES,Mountain West,"Logan, UT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah Tech,,,,,,,,,,,Utah Tech,UTU,,,,,,,,,0,,Utah Tech - 14.023,NO,WAC,"St. George, UT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah Valley,,,,,,,,,,,Utah Valley,UVU,,,,,,,,,0,,Utah Valley - 22.64,NO,WAC,"Orem, UT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTEP,,,,,,,,,,,UTEP,,,,,,,,,,0,,UTEP - 15.957,NO,CUSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTSA,,,,,,,,,,,UTSA,UTSA,,,,,,,,,0,,UTSA - 7.143,NO,American,"San Antonio, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valparaiso,,,,,,,,,,,Valparaiso,VALP,,,,,,,,,0,,Valparaiso - 7.323,NO,Missouri Valley,"Valparaiso, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanderbilt,,,,,,,,,,,Vanderbilt,VAN,,,,,,,,,0,,Vanderbilt - -8.935,NO,SEC,"Nashville, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCU,,,,,,,,,,,VCU,VCU,,,,,,,,,0,,VCU - 49.629,NO,A10,"Richmond, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,,,,,,,,,,,Vermont,UVM,,,,,,,,,0,,Vermont - 59.549,YES,American East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villanova,,,,,,,,,,,Villanova,VILL,,,,,,,,,0,,Villanova - 66.973,NO,Big East,"Villanova, PA","Philadelphia, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,,,,,,,,,,,Virginia,UVA,,,,,,,,,0,,Virginia - 59.082,YES,ACC,"Charlottesville, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia Tech,,,,,,,,,,,Virginia Tech,VT,,,,,,,,,0,,Virginia Tech - 46.185,NO,ACC,"Blacksburg, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VMI,,,,,,,,,,,VMI,,,,,,,,,,0,,VMI - 10.468,NO,Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wagner,,,,,,,,,,,Wagner,,,,,,,,,,0,,Wagner - 32.957,YES,NEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wake Forest,,,,,,,,,,,Wake Forest,WAKE,,,,,,,,,0,,Wake Forest - 14.322,NO,ACC,"Winston-Salem, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,,,,,,,,,,,Washington,WASH,,,,,,,,,0,,Washington - -4.099,NO,Big Ten,"Seattle, WA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington St.,,,,,,,,,,,Washington St.,WSU,,,,,,,,,0,,Washington St. - 33.981,YES,WCC,"Pullman, WA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weber St.,,,,,,,,,,,Weber St.,,,,,,,,,,0,,Weber St. - 13.204,NO,Big Sky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Georgia,,,,,,,,,,,West Georgia,,,,,,,,,,0,,West Georgia - 9,NO,ASUN,"Carrollton, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,,,,,,,,,,,West Virginia,WVU,,,,,,,,,0,,West Virginia - 14.826,NO,Big 12,"Morgantown, WV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Carolina,,,,,,,,,,,Western Carolina,,,,,,,,,,0,,Western Carolina - 15.369,NO,Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Illinois,,,,,,,,,,,Western Illinois,WIU,,,,,,,,,0,,Western Illinois - 11.431,NO,Ohio Valley,"Macomb, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Kentucky,,,,,,,,,,,Western Kentucky,WKU,,,,,,,,,0,,Western Kentucky - 33.599,YES,CUSA,"Bowling Green, KY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Michigan,,,,,,,,,,,Western Michigan,WMU,,,,,,,,,0,,Western Michigan - 5.153,NO,MAC,"Kalamazoo, MI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wichita St.,,,,,,,,,,,Wichita St.,WICH,,,,,,,,,0,,Wichita St. - 21.963,NO,American,"Wichita, KS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William & Mary,,,,,,,,,,,William & Mary,W&M,,,,,,,,,0,,William & Mary - 10.973,NO,CAA,"Williamsburg, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winthrop,,,,,,,,,,,Winthrop,WIN,,,,,,,,,0,,Winthrop - 19.327,NO,Big South,"Rock Hill, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,,,,,,,,,,,Wisconsin,WIS,,,,,,,,,0,,Wisconsin - 45.157,YES,Big Ten,"Madison, WI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wofford,,,,,,,,,,,Wofford,WOF,,,,,,,,,0,,Wofford - 16.814,NO,Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
